Genre,Article:,Para,Text,Important words,3 word chosen,Output,Intersection,Similarity
Technology,Like to Tinker? NASA's Looking for You,1,"Dyson’s laser-equipped vacuum is one of the latest 
examples of cleaning tech, products that are designed to 
make our household hygiene as painless and efficient as
possible. It’s an increasingly important category of 
technology now that the pandemic has forced so many of 
us to spend lots of time at home, creating messes that 
never seem to go away","dyson', 'laser', 'vacuum', 'latest','examples', 
'tech', 'products', 'household', 'hygiene', 
'painless', 'efficient', 'possible', 'important', 
'category', 'technology', 'pandemic', 'lots', 
'time', 'home'","household', 'painless', 'technology'","Household painless technology,""What would you 
do if you could see what had happened to your 
family on a daily basis? Our family has been 
suffering with a chronic pain condition for quite 
some time now. One of my sons was the first to try 
his hand at being an inventor and built a device to 
help him cope with the pain in his neck. It turned out 
to be a very simple device that would allow him to 
control his computer to","in', 'quite', 'built', 'computer', 'control', 'at', 'been', 'and', 'household', 'would', 'you', 'if', 'to', 'condition', 'for', 'now.', 'his', 'very', 'turned', 'technology', 'see', 'what', 'family', 'chronic', 'help', 'out', 'it', 'time', 'being', 'could', 'some', 'has', 'be', 'pain', 'had', 'a', 'happened', 'sons', 'was', 'with', 'first', 'daily', 'try', 'an', 'my', 'do', 'of', 'device', 'simple', 'cope', 'inventor', 'our', 'the', 'to.', 'that', 'painless', 'your', 'one', 'hand', 'him', 'neck.', 'allow', 'basis?', 'suffering', 'on'} {'hygiene', 'tech,', 'away.', 'and', 'household', 'category', 'now', 'many', 'to', 'examples', 'are', 'technology', 'us', 'creating', 'lots', 'possible.', 'important', 'it’s', 'time', 'as', 'laser-equipped', 'home,', 'cleaning', 'vacuum', 'designed', 'latest', 'seem', 'has', 'at', 'an', 'never', 'so', 'of', 'spend', 'our', 'the', 'forced', 'that', 'painless', 'one', 'go', 'efficient', 'make', 'messes', 'products', 'pandemic', 'is', 'dyson’s', 'increasingly'}",14
,,,,,"home', 'painless', 'hygiene","Home painless hygiene methods of Bath tub with 
water that is filtered and sterilized. Make sure you 
use at least a 5 gal bucket, as it can become quite 
large when filled up to the rim.If you are going to a 
health spa, you also need to check the sanitation 
aspect of the bathing water. Most spa facilities 
have a large tank, often labeled'sauna', which you 
can fill","hygiene', 'methods', 'use', 'quite', 'when', 'filled', 'tub', 'and', 'water', 'you', 'health', 'most', 'to', '5', 'are', 'fill.', 'spa,', 'bathing', 'sanitation', 'gal', 'up', ""labeled'sauna',"", 'large', 'need', 'water.', 'it', 'as', 'become', 'facilities', 'tank,', 'sure', 'can', 'going', 'sterilized.', 'at', 'a', 'check', 'filtered', 'with', 'aspect', 'spa', 'of', 'least', 'the', 'rim.if', 'that', 'painless', 'which', 'also', 'have', 'bath', 'make', 'home', 'is', 'often', 'bucket,'} {'hygiene', 'tech,', 'away.', 'and', 'household', 'category', 'now', 'many', 'to', 'examples', 'are', 'technology', 'us', 'creating', 'lots', 'possible.', 'important', 'it’s', 'time', 'as', 'laser-equipped', 'home,', 'cleaning', 'vacuum', 'designed', 'latest', 'seem', 'has', 'at', 'an', 'never', 'so', 'of', 'spend', 'our', 'the', 'forced', 'that', 'painless', 'one', 'go', 'efficient', 'make', 'messes', 'products', 'pandemic', 'is', 'dyson’s', 'increasingly'",12.9
,,,,,"room', 'major', 'new'","Room major new record.The album was released 
on 5 June 2013.Critical reception.On the album 
launch, Mike Davis from Slant Magazine wrote: ""A 
much more diverse selection of tracks takes the 
concept of'sad' to new heights on this full-length, 
but it's still a record about something that should 
not be'sad'. It's about anger. It's about rebellion. It 
deals with how society","society.', 'concept', 'full-length,', 'but', 'more', 'how', 'critical', 'about', 'anger.', 'to', 'not', 'still', '5', 'deals', 'magazine', 'should', '2013.', ""be'sad'."", 'album', 'room', 'slant', 'it', 'from', 'tracks', 'record', 'rebellion.', 'mike', 'june', ""of'sad'"", ""it's"", 'major', 'was', 'a', 'with', 'heights', 'wrote:', 'selection', 'of', 'much', 'diverse', 'takes', 'the', 'released', 'davis', 'launch,', 'something', 'that', 'record.', 'this', 'new', 'reception.', 'on'} {'hygiene', 'tech,', 'away.', 'and', 'household', 'category', 'now', 'many', 'to', 'examples', 'are', 'technology', 'us', 'creating', 'lots', 'possible.', 'important', 'it’s', 'time', 'as', 'laser-equipped', 'home,', 'cleaning', 'vacuum', 'designed', 'latest', 'seem', 'has', 'at', 'an', 'never', 'so', 'of', 'spend', 'our', 'the', 'forced', 'that', 'painless', 'one', 'go', 'efficient', 'make', 'messes', 'products', 'pandemic', 'is', 'dyson’s', 'increasingly'",4.12
,,,,,"hygiene', 'time', 'pandemic'","Hygiene time pandemic {#s1}
====================

For two decades the global pandemic of *H. pylori
* infection has been a great concern in public health. 
The eradication rate for the treatment of *H. pylori* 
has been over 90% and the eradication of duodenal 
ulcer has been 100% \[[@B1],[@B2]\]. The World 
Health","infection', 'in', 'hygiene', 'rate', '{#s1}====================for', 'global', 'been', 'and', '*h.', 'for', 'health.', 'over', 'world', 'concern', 'ulcer', 'time', 'great', 'treatment', 'public', 'has', '100%', '90%', 'pylori*', 'a', 'duodenal', 'of', 'two', 'the', 'eradication', 'pandemic', '\\[[@b1],[@b2]\\].', 'decades'} {'hygiene', 'tech,', 'away.', 'and', 'household', 'category', 'now', 'many', 'to', 'examples', 'are', 'technology', 'us', 'creating', 'lots', 'possible.', 'important', 'it’s', 'time', 'as', 'laser-equipped', 'home,', 'cleaning', 'vacuum', 'designed', 'latest', 'seem', 'has', 'at', 'an', 'never', 'so', 'of', 'spend', 'our', 'the', 'forced', 'that', 'painless', 'one', 'go', 'efficient', 'make', 'messes', 'products', 'pandemic', 'is', 'dyson’s', 'increasingly'}",9.56
,,,,,"household', 'time', 'category'","Household time category
In retail, a household time category is an item in a 
store or department store that is bought by a 
customer at the time of purchase while other items 
for which a customer is searching for the purchase 
are displayed in front of the customer's chosen 
merchandise. A customer may then purchase 
another product from any of the displayed items. 
This time category also includes items purchased 
at the time of purchase for other items the 
customer has already purchased","in', 'category', 'household', 'displayed', 'then', ""customer's"", 'for', 'store', 'are', 'front', 'chosen', 'items.', 'product', 'purchased', 'already', 'retail,', 'includes', 'while', 'merchandise.', 'purchase', 'customer', 'department', 'time', 'may', 'from', 'searching', 'has', 'any', 'at', 'an', 'a', 'item', 'items', 'is', 'another', 'bought', 'of', 'or', 'other', 'the', 'that', 'which', 'also', 'this', 'by'} {'hygiene', 'tech,', 'away.', 'and', 'household', 'category', 'now', 'many', 'to', 'examples', 'are', 'technology', 'us', 'creating', 'lots', 'possible.', 'important', 'it’s', 'time', 'as', 'laser-equipped', 'home,', 'cleaning', 'vacuum', 'designed', 'latest', 'seem', 'has', 'at', 'an', 'never', 'so', 'of', 'spend', 'our', 'the', 'forced', 'that', 'painless', 'one', 'go', 'efficient', 'make', 'messes', 'products', 'pandemic', 'is', 'dyson’s', 'increasingly'",13.25
,,,,,"category', 'examples', 'household'","Category examples household/non-household 
categories

Home/Condo/Rental

The number of properties with zero rental prices to 
the total number of dwellings in the respective areas.

The number of homeowners and renters in the 
respective areas.

The fraction of renters in the respective areas that 
are in the owner-occupied housing units (OHUs).

The fraction of non-owning (non-HOA)","prices', 'in', 'category', 'and', 'owner-occupied', 'to', 'examples', 'are', 'home/condo/rental.', 'areas.', 'number', 'units', 'dwellings', 'respective', 'rental', 'homeowners', 'fraction', 'with', 'areas', '(ohus).', 'household/non-household', 'of', 'categories', 'the', 'total', 'non-owning', 'that', 'zero', 'properties', '(non-hoa).', 'housing', 'renters'} {'hygiene', 'tech,', 'and', 'household', 'category', 'now', 'many', 'to', 'examples', 'are', 'technology', 'us', 'creating', 'lots', 'possible.', 'away', 'important', 'it’s', 'time', 'as', 'laser-equipped', 'home,', 'cleaning', 'vacuum', 'designed', 'latest', 'seem', 'has', 'at', 'an', 'never', 'so', 'of', 'spend', 'our', 'the', 'forced', 'that', 'painless', 'one', 'go', 'efficient', 'make', 'messes', 'products', 'pandemic', 'is', 'dyson’s', 'increasingly'}
S",10.96
,,,,,"technology', 'tech', 'time'","Technology tech time travel. The future. The past. 
And I'm the guy asking for your help. With this blog, I
'm hoping to find a way to blend technology with 
old fashioned historical storytelling to bring you an 
interactive, immersive, and occasionally silly journey 
back into the past.

Sunday, January 24, 2010

If you're not familiar with the Internet, you probably 
come here for the technology blogs. That's not quite right","bring', 'quite', 'blend', 'future.', 'and', 'you', 'storytelling', 'if', 'probably', 'january', 'to', 'not', 'for', 'back', 'immersive,', 'technology', ""i'm"", 'right.', 'guy', 'blog,', '24,', ""that's"", 'time', 'travel.', 'way', 'old', 'help.', 'interactive,', 'tech', 'historical', 'an', 'a', ""you're"", 'with', 'fashioned', 'familiar', 'find', 'sunday,', 'internet,', 'the', 'silly', 'into', 'blogs.', 'your', 'past.', 'journey', 'hoping', 'come', 'this', 'here', 'occasionally', 'asking', '2010.'} {'hygiene', 'tech,', 'and', 'household', 'category', 'now', 'many', 'to', 'examples', 'are', 'technology', 'us', 'creating', 'lots', 'possible.', 'away', 'important', 'it’s', 'time', 'as', 'laser-equipped', 'home,', 'cleaning', 'vacuum', 'designed', 'latest', 'seem', 'has', 'at', 'an', 'never', 'so', 'of', 'spend', 'our', 'the', 'forced', 'that', 'painless', 'one', 'go', 'efficient', 'make', 'messes', 'products', 'pandemic', 'is', 'dyson’s', 'increasingly'",6.25
,,,,,"efficient', 'household', 'latest'","Efficient household latest information,

All of us don't want to find out that the person in the 
picture is still alive and can be happy, but there are 
lots of reasons to not forget about her and don't want 
to take the chance to be in a situation if she's still 
alive. Here are 6 of the reasons why you shouldn't 
forget about your wife or girlfriend when you think 
she is in a bad mood:","in', 'her', ""she's"", 'when', 'think', 'and', 'household', 'but', 'you', 'if', 'about', 'to', 'not', 'all', 'want', 'still', 'happy,', 'are', 'why', 'she', 'us', 'there', 'alive.', 'lots', 'take', 'bad', 'forget', 'out', 'picture', '6', 'chance', 'latest', 'can', 'mood.', 'alive', 'be', 'situation', ""shouldn't"", 'a', 'person', 'is', 'of', 'or', 'find', 'the', 'information,', 'that', 'your', 'here', 'efficient', ""don't"", 'wife', 'reasons', 'girlfriend'} {'hygiene', 'tech,', 'away.', 'and', 'household', 'category', 'now', 'many', 'to', 'examples', 'are', 'technology', 'us', 'creating', 'lots', 'possible.', 'important', 'it’s', 'time', 'as', 'laser-equipped', 'home,', 'cleaning', 'vacuum', 'designed', 'latest', 'seem', 'has', 'at', 'an', 'never', 'so', 'of', 'spend', 'our', 'the', 'forced', 'that', 'painless', 'one', 'go', 'efficient', 'make', 'messes', 'products', 'pandemic', 'is', 'dyson’s', 'increasingly'",13.19
,,,,,"time', 'examples', 'vacuum'","Time examples vacuum

I am working on a project right now where I 
need to understand how to create a ""clean"" 
example of how to use NUnit. What's the best 
way to get started with testing, and how could I 
approach this?
I'm using the Nuget installer for NUnit.
Here's what I think I want to achieve:

In my class Foo, I have a method SetUp. This runs","in', 'understand', 'use', 'class', 'started', 'think', 'and', 'now', 'approach', 'how', 'using', 'get', 'to', 'for', 'want', 'examples', ""i'm"", 'what', 'installer', 'nuget', 'need', ""here's"", 'project', 'time', 'best', 'runs.', 'working', 'method', 'could', 'vacuum', 'achieve:', 'way', 'foo,', 'right', 'where', ""what's"", 'an', 'a', 'i', 'with', 'my', 'this?', 'of', 'create', 'example', 'setup.', 'the', 'am', 'nunit.', 'testing,', 'have', 'this', 'on'} {'hygiene', 'tech,', 'away.', 'and', 'household', 'category', 'now', 'many', 'to', 'examples', 'are', 'technology', 'us', 'creating', 'lots', 'possible.', 'important', 'it’s', 'time', 'as', 'laser-equipped', 'home,', 'cleaning', 'vacuum', 'designed', 'latest', 'seem', 'has', 'at', 'an', 'never', 'so', 'of', 'spend', 'our', 'the', 'forced', 'that', 'painless', 'one', 'go', 'efficient', 'make', 'messes', 'products', 'pandemic', 'is', 'dyson’s', 'increasingly'",9.68
,,,,,"painless', 'laser', 'products'","Painless laser products may be found on the 
market today, but many of the same principles 
which make these devices so effective are still 
under development. We are not aware of any prior 
art that describes or discloses the specific problem 
which the present invention addresses.
Many prior attempts have been made to address 
this problem.
U.S. Pat. No. 3,948,813, issued to Eisele on May 
10, 1976","under', 'pat.', 'been', 'art', 'problem', 'but', '10,', 'describes', 'no.', 'many', '1976', 'to', 'not', 'still', 'products', 'are', 'found', 'effective', 'issued', 'devices', 'may', 'discloses', 'laser', 'we', 'invention', 'aware', 'development.', 'these', 'be', 'any', 'attempts', 'eisele', 'today,', 'same', 'problem.', 'so', 'prior', 'of', 'or', 'made', 'address', '3,948,813,', 'principles', 'the', 'specific', 'which', 'painless', 'that', 'u.s.', 'have', 'make', 'this', 'market', 'present', 'addresses.', 'on'} {'hygiene', 'tech,', 'away.', 'and', 'household', 'category', 'now', 'many', 'to', 'examples', 'are', 'technology', 'us', 'creating', 'lots', 'possible.', 'important', 'it’s', 'time', 'as', 'laser-equipped', 'home,', 'cleaning', 'vacuum', 'designed', 'latest', 'seem', 'has', 'at', 'an', 'never', 'so', 'of', 'spend', 'our', 'the', 'forced', 'that', 'painless', 'one', 'go', 'efficient', 'make', 'messes', 'products', 'pandemic', 'is', 'dyson’s', 'increasingly'",10.53
,,,,,,,,
,,2,"When the contest was held last October, none of the eight 
entrants made it all the way up the ribbon. But Mr. Jones's 
Snowstar machine traveled farthest, all of 20 feet. The 
hexagonal array of solar cells, powering two pairs of rollers 
that shimmied up the ribbon, was judged Most Likely to 
Win in the 2006 challenge, set for August. The prize has 
been increased to $250,000 this year, from $50,000. To 
win, the climbers must make it up the ribbon in less than 
a minute. So far, 19 teams have signed up, nearly twice 
as many as in 2005. ","contest', 'october', 'entrants', 'way', 'ribbon', 
'mr', 'jones', 'snowstar', 'machine', 'feet', 
'hexagonal', 'array', 'solar', 'cells', 'pairs', 
'rollers', 'ribbon', 'likely', 'challenge', 
'august', 'prize', 'year', 'climbers', 
'ribbon', 'minute', 'teams","climbers', 'rollers', 'ribbon'","Climbers rollers ribbon down the middle of the road 
on a motorbike ride at a park in New York City.
Photo: Michael Yarish/Getty Images/iStockphoto

It’s safe to say that every time someone asks me 
what I think of cycling, I get excited.

In a way, I’ve been riding the bike since the fifth 
grade. It wasn’t until this year","until', 'in', 'i’ve', 'year.', 'rollers', 'think', 'been', 'since', 'safe', 'get', 'way,', 'to', 'fifth', 'climbers', 'wasn’t', 'middle', 'motorbike', 'asks', 'what', 'bike', 'park', 'down', 'ribbon', 'excited.', 'me', 'cycling,', 'it’s', 'time', 'it', 'every', 'riding', 'at', 'a', 'yarish/getty', 'i', 'images/istockphoto.', 'road', 'of', 'say', 'ride', 'the', 'city.', 'that', 'grade.', 'york', 'michael', 'this', 'photo:', 'new', 'someone', 'on'} {'october,', 'to', 'all', 'traveled', 'ribbon', 'minute.', 'snowstar', 'way', 'none', 'increased', 'signed', '2005.', 'far,', 'so', 'two', '$50,000.', 'solar', 'that', 'this', 'have', 'in', 'when', 'rollers', 'been', 'but', 'most', 'many', 'feet.', 'for', 'climbers', 'entrants', 'up,', 'august.', 'prize', 'hexagonal', 'array', 'has', '2006', 'was', ""jones's"", 'less', '19', 'farthest,', 'held', '20', 'contest', '$250,000', 'make', 'win', 'win,', 'shimmied', 'twice', 'up', 'powering', 'mr.', 'ribbon.', 'last', 'challenge,', 'the', 'pairs', 'teams', 'ribbon,', 'nearly', 'judged', 'likely', 'it', 'from', 'as', 'year,', 'a', 'cells,', 'eight', 'of', 'made', 'machine', 'must', 'set', 'than'",10.26
,,,,,"challenge', 'teams', 'august'","Challenge teams august 2015

I am a little late with this one, but I am happy to 
announce that the 2012-2013 team has been 
dissolved. Congratulations to everyone who took 
part in the challenges. Everyone that participated 
was amazing and I have received so many 
messages of support throughout the challenges - I 
wish you all the happiness and success in this new 
adventure.

A big thank you to everyone who joined our team l
ast year - we","in', 'been', 'participated', 'and', 'but', 'you', 'congratulations', 'happy', 'many', 'to', 'announce', 'all', 'success', '-', '2012-2013', 'challenges', 'dissolved.', '2015', 'challenge', 'throughout', 'happiness', 'adventure.', 'we', 'has', 'messages', 'last', 'august', 'was', 'a', 'i', 'big', 'with', 'thank', 'so', 'one,', 'took', 'of', 'joined', 'part', 'challenges.', 'amazing', 'received', 'support', 'the', 'am', 'who', 'our', 'that', 'team', 'teams', 'wish', 'year', 'late', 'this', 'have', 'everyone', 'new', 'little'} {'october,', 'to', 'all', 'traveled', 'ribbon', 'minute.', 'snowstar', 'way', 'none', 'increased', 'signed', '2005.', 'far,', 'so', 'two', '$50,000.', 'solar', 'that', 'this', 'have', 'in', 'when', 'rollers', 'been', 'but', 'most', 'many', 'feet.', 'for', 'climbers', 'entrants', 'up,', 'august.', 'prize', 'hexagonal', 'array', 'has', '2006', 'was', ""jones's"", 'less', '19', 'farthest,', 'held', '20', 'contest', '$250,000', 'make', 'win', 'win,', 'shimmied', 'twice', 'up', 'powering', 'mr.', 'ribbon.', 'last', 'challenge,', 'the', 'pairs', 'teams', 'ribbon,', 'nearly', 'judged', 'likely', 'it', 'from', 'as', 'year,', 'a', 'cells,', 'eight', 'of', 'made', 'machine', 'must', 'set', 'than'}
S",14.28
